mechanism,predictor,response,n_relationships,n_studies,n_species,coverage_level,studies
barotrauma,accl_depth,buoyancy_max_neutral_depth,1,1,1,quantitative,Pflugrath2012
barotrauma,accl_depth,injury,2,2,2,quantitative,Abernethy2003; Brown2016
barotrauma,accl_p,injury,1,1,2,quantitative,Colotelo2012
barotrauma,accl_p,mortality,1,1,2,quantitative,Colotelo2012
barotrauma,geometry,nadir_pressure,1,1,1,qualitative,Martinez2025
barotrauma,life_stage,survival,1,1,1,qualitative,Doyle2022
barotrauma,lrp,injury,1,1,3,quantitative,Pflugrath2018
barotrauma,lrp,injury_mortal,2,2,2,modelled,Brown2012; Pflugrath2018
barotrauma,lrp,mortality_mortal_injury,2,2,2,modelled,Carlson2012; Zitek2026
barotrauma,mass,mortality,1,1,1,qualitative,Carlson2012
barotrauma,nadir_p,injury,4,4,4,quantitative,Brown2009; Meng2019; Reckendorfer2020; Schneider2025
barotrauma,nadir_p,injury_emboli,1,1,1,quantitative,Stephenson2010
barotrauma,nadir_p,injury_hemorrhage,1,1,1,quantitative,Stephenson2010
barotrauma,nadir_p,injury_swimbladder_rupture,1,1,1,quantitative,Stephenson2010
barotrauma,nadir_p,mortality,3,3,2,quantitative,Brown2009; Reckendorfer2020; Stephenson2010
barotrauma,nadir_p,mortality_mortal_injury,1,1,1,quantitative,Martinez2025
barotrauma,pct_bep,nadir_pressure,2,2,1,quantitative,Martinez2019; Martinez2025
barotrauma,rpc_AN,injury,4,4,4,quantitative,Beirao2018; Kerr2023; Pauwels2020; Pflugrath2020
barotrauma,rpc_AN,injury_hemorrhage,1,1,1,quantitative,Brown2009
barotrauma,rpc_AN,mortality,4,4,4,quantitative,Kerr2023; Pauwels2020; Pflugrath2018; Pflugrath2020
barotrauma,rpc_EA,hatching_success,1,1,2,qualitative,Boys2016
barotrauma,rpc_EA,injury,1,1,3,quantitative,Boys2014
barotrauma,rpc_EA,injury_hemorrhage,1,1,3,quantitative,Boys2016
barotrauma,rpc_EA,mortality,2,2,3,quantitative,Boys2014; Boys2016pw
barotrauma,rpc_EA,mortality_shortterm,1,1,3,qualitative,Boys2016
barotrauma,structure_type,injury_swimbladder_rupture,1,1,2,qualitative,Pflugrath2018
barotrauma,swimbladder,injury,3,3,3,qualitative,Colotelo2012;Boys2016;Brown2012; Pflugrath2019; Stephenson2010
barotrauma,swimbladder,mortality,3,3,3,qualitative,Colotelo2012;Boys2016;Brown2012; Pflugrath2019; Stephenson2010
barotrauma,swimbladder,mortality_mortal_injury,1,1,1,qualitative,Zitek2026
barotrauma,tdg,injury,1,1,2,qualitative,Abernethy2002
barotrauma,tdg,mortality,1,1,2,qualitative,Abernethy2002
shear,strain_rate,injury,1,1,1,quantitative,Pflugrath2020
shear,strain_rate,mortality,2,1,2,quantitative,Boys2014
shear,strain_rate,survival,1,1,1,quantitative,Doyle2020
