word,abbreviation
abstracts,Abstr.
advances,Adv.
american,Am.
analysis,Anal.
annals,Ann.
annual,Annu.
applied,Appl.
aquatic,Aquat.
aquaculture,Aquac.
archives,Arch.
association,Assoc.
biological,Biol.
biology,Biol.
bulletin,Bull.
chemical,Chem.
chemistry,Chem.
communications,Commun.
computational,Comput.
computer,Comput.
conditions,Cond.
conference,Conf.
conservation,Conserv.
department,Dep.
development,Dev.
ecological,Ecol.
ecology,Ecol.
engineering,Eng.
environment,Environ.
environmental,Environ.
estuarine,Estuar.
fisheries,Fish.
fishery,Fish.
freshwater,Freshw.
geology,Geol.
hydraulic,Hydraul.
hydraulics,Hydraul.
hydroelectric,Hydroelectr.
hydrology,Hydrol.
institute,Inst.
international,Int.
journal,J.
juvenile,Juv.
letters,Lett.
management,Manag.
marine,Mar.
mathematics,Math.
mechanical,Mech.
mechanics,Mech.
modelling,Model.
modeling,Model.
national,Natl.
physical,Phys.
physics,Phys.
physiological,Physiol.
physiology,Physiol.
pressure,Press.
proceedings,Proc.
quarterly,Q.
renewable,Renew.
report,Rep.
reports,Rep.
research,Res.
review,Rev.
reviews,Rev.
science,Sci.
sciences,Sci.
scientific,Sci.
series,Ser.
simulation,Simul.
society,Soc.
station,Stn.
stations,Stn.
statistical,Stat.
statistics,Stat.
supplement,Suppl.
sustainable,Sustain.
sustainability,Sustain.
technological,Technol.
technology,Technol.
transactions,Trans.
university,Univ.
